T (K);Resist̻ncia (ohm E-3)
26;2.5991
27;2.7421
28;2.8985
29;3.0681
30;3.2507
32;3.6530
34;4.1023
36;4.5957
38;5.1298
40;5.7014
45;7.2742
50;9.0158
55;10.3880
60;12.8530
65;14.889
70;16.975
75;19.096
77.35;20.101
80;21.240
85;23.397
90;25.560
95;27.723
100;29.880
105;32.027
110;34.160
115;36.230
120;38.385
125;40.479
130;42.564
135;44.646
155;52.950
160;55.003
165;57.053
170;59.099
175;61.140
180;63.176
185;65.208
190;67.235
195;69.359
200;71.278
205;73.294
210;75.307
215;77.316
220;79.322
225;81.325
230;83.323
235;85.318
240;87.309
245;89.296
250;91.278
255;93.256
260;95.229
265;97.198
270;99.163
275;101.120
280;103.080
285;105.040
290;106.990
295;108.940
300;110.890
