T (ÂºC);VH (mV);VP(V)
24;21.887;0.6994
33;22.017;0.7420
39;22.031;0.7706
45;21.930;0.8017
50;21.737;0.8266
53;21.569;0.8341
58;21.150;0.8567
61;20.840;0.8654
66;20.130;0.8769
69;19.314;0.8826
75;17.670;0.8804
79;16.089;0.8756
83;14.230;0.8524
89;11.328;0.8055
93;9.765;0.7840
96;8.056;0.7420
101;5.856;0.6786
90;10.9;0.8032
85;14.3;0.866
80;16.3;0.876
75;17.9;0.8808
70;19.56;0.8794
65;20.456;0.8701
60;21;0.8576
55;21.524;0.8408
50;21.820;0.8193
45;21.975;0.8
40;22.054;0.7743
35;22.056;0.7548
33;22.036;0.7441
30;21.984;0.7305
28;21.966;0.7201
26;21.916;0.7112
25;21.9;0.7091